Name,County,geoid,Population,Median Age,Household Income,Per Capita Income,Unemployment Count,Poverty Count,Poverty_Rate,State,abbr,Unemployment Rate,Unemployment_Rate
"Guánica Municipio, Puerto Rico",Guánica Municipio,72055,17327,41.4,12653,7207,1509,11288,65.14688059,Puerto Rico,PR,0.087089513,8.708951348
"Hormigueros Municipio, Puerto Rico",Hormigueros Municipio,72067,16474,45.1,19674,11588,1445,6476,39.31042855,Puerto Rico,PR,0.087713974,8.771397353
"Manatí Municipio, Puerto Rico",Manatí Municipio,72091,40705,40.9,18191,10559,2385,18707,45.95749908,Puerto Rico,PR,0.058592311,5.859231053
"Naguabo Municipio, Puerto Rico",Naguabo Municipio,72103,26584,37,18976,10016,893,13071,49.16867289,Puerto Rico,PR,0.033591634,3.359163407
"Naranjito Municipio, Puerto Rico",Naranjito Municipio,72105,29112,38.7,18069,8996,2373,13748,47.22451223,Puerto Rico,PR,0.081512778,8.151277824
"San Germán Municipio, Puerto Rico",San Germán Municipio,72125,32937,42.7,15036,9563,765,16701,50.70589307,Puerto Rico,PR,0.023226159,2.322615903
"Utuado Municipio, Puerto Rico",Utuado Municipio,72141,30209,41.7,15931,8140,2816,16000,52.96434837,Puerto Rico,PR,0.093217253,9.321725314
"Arecibo Municipio, Puerto Rico",Arecibo Municipio,72013,89550,41.4,17289,9954,4849,43039,48.0614182,Puerto Rico,PR,0.05414852,5.414852038
"Arroyo Municipio, Puerto Rico",Arroyo Municipio,72015,18504,38.7,15689,7639,699,10487,56.6742326,Puerto Rico,PR,0.037775616,3.777561608
"Cataño Municipio, Puerto Rico",Cataño Municipio,72033,25595,39.1,18663,11627,2988,12639,49.38073843,Puerto Rico,PR,0.116741551,11.67415511
"Florida Municipio, Puerto Rico",Florida Municipio,72054,12140,38.2,16919,7837,649,6839,56.33443163,Puerto Rico,PR,0.053459638,5.345963756
"Hatillo Municipio, Puerto Rico",Hatillo Municipio,72065,40978,40.7,17770,10360,1250,18522,45.19986334,Puerto Rico,PR,0.030504173,3.050417297
"Humacao Municipio, Puerto Rico",Humacao Municipio,72069,54736,41.3,18735,11682,2286,24820,45.34492838,Puerto Rico,PR,0.041764104,4.176410406
"Juana Díaz Municipio, Puerto Rico",Juana Díaz Municipio,72075,47952,37.5,20228,10244,4240,22662,47.25975976,Puerto Rico,PR,0.088421755,8.842175509
"Morovis Municipio, Puerto Rico",Morovis Municipio,72101,31785,37,18739,8816,2204,15639,49.20245399,Puerto Rico,PR,0.069340884,6.934088406
"Mayagüez Municipio, Puerto Rico",Mayagüez Municipio,72097,79615,39.9,14642,10656,6999,40790,51.23406393,Puerto Rico,PR,0.08791057,8.791056962
"Santa Isabel Municipio, Puerto Rico",Santa Isabel Municipio,72133,22475,37.2,16816,10478,788,11045,49.14349277,Puerto Rico,PR,0.035061179,3.506117909
"Trujillo Alto Municipio, Puerto Rico",Trujillo Alto Municipio,72139,69478,39.3,31202,15703,2199,21009,30.23834883,Puerto Rico,PR,0.031650307,3.165030657
"Quebradillas Municipio, Puerto Rico",Quebradillas Municipio,72115,24548,39.3,16082,9287,982,12679,51.64982891,Puerto Rico,PR,0.040003259,4.000325892
"Guayama Municipio, Puerto Rico",Guayama Municipio,72057,42623,37.5,15296,9183,813,22269,52.24643972,Puerto Rico,PR,0.019074209,1.907420876
"Moca Municipio, Puerto Rico",Moca Municipio,72099,37676,38.6,13413,7881,3076,21615,57.37073999,Puerto Rico,PR,0.081643487,8.164348657
"Culebra Municipio, Puerto Rico",Culebra Municipio,72049,1494,39.3,23355,11450,11,615,41.16465863,Puerto Rico,PR,0.007362784,0.736278447
"Gurabo Municipio, Puerto Rico",Gurabo Municipio,72063,47074,38.3,32625,16559,3099,14583,30.97888431,Puerto Rico,PR,0.065832519,6.583251901
"Salinas Municipio, Puerto Rico",Salinas Municipio,72123,29239,38.4,16246,8738,833,15586,53.3055166,Puerto Rico,PR,0.028489346,2.848934642
"Barceloneta Municipio, Puerto Rico",Barceloneta Municipio,72017,24583,38.7,17113,8762,1319,11936,48.5538787,Puerto Rico,PR,0.053654965,5.365496481
"Loíza Municipio, Puerto Rico",Loíza Municipio,72087,27242,37.5,17273,8729,3012,14113,51.8060348,Puerto Rico,PR,0.110564569,11.05645694
"Yauco Municipio, Puerto Rico",Yauco Municipio,72153,37585,42.1,14451,8124,2847,18800,50.01995477,Puerto Rico,PR,0.075748304,7.574830384
"Guaynabo Municipio, Puerto Rico",Guaynabo Municipio,72061,90773,42.7,34060,24264,4297,24289,26.75795666,Puerto Rico,PR,0.047337865,4.733786478
"Aguadilla Municipio, Puerto Rico",Aguadilla Municipio,72005,55722,40.6,16821,10872,4040,27928,50.12023976,Puerto Rico,PR,0.072502782,7.250278167
"Cabo Rojo Municipio, Puerto Rico",Cabo Rojo Municipio,72023,49726,42.3,16461,9523,1835,26021,52.32876161,Puerto Rico,PR,0.036902224,3.690222419
"Fajardo Municipio, Puerto Rico",Fajardo Municipio,72053,33075,40.7,18941,10900,4019,14371,43.44973545,Puerto Rico,PR,0.121511716,12.15117158
"Las Marías Municipio, Puerto Rico",Las Marías Municipio,72083,8874,40.1,14404,7154,57,5070,57.13319811,Puerto Rico,PR,0.006423259,0.642325896
"Patillas Municipio, Puerto Rico",Patillas Municipio,72109,17769,43.3,14512,8679,1004,10182,57.30204288,Puerto Rico,PR,0.056502898,5.650289831
"Rincón Municipio, Puerto Rico",Rincón Municipio,72117,14526,44.6,18292,10220,708,7047,48.51301115,Puerto Rico,PR,0.04874019,4.874019
"Villalba Municipio, Puerto Rico",Villalba Municipio,72149,23659,37.6,19893,10449,2268,11740,49.62170844,Puerto Rico,PR,0.09586204,9.586203982
"Aguas Buenas Municipio, Puerto Rico",Aguas Buenas Municipio,72007,26855,40.4,16733,10615,1941,12910,48.07298455,Puerto Rico,PR,0.072277043,7.227704338
"Bayamón Municipio, Puerto Rico",Bayamón Municipio,72021,188614,40.4,25528,14138,11392,63445,33.63748184,Puerto Rico,PR,0.060398486,6.03984858
"Carolina Municipio, Puerto Rico",Carolina Municipio,72031,161684,41.1,29082,16188,10203,46686,28.87484228,Puerto Rico,PR,0.063104574,6.310457435
"Cayey Municipio, Puerto Rico",Cayey Municipio,72035,45431,41,20442,12594,1746,19785,43.54955867,Puerto Rico,PR,0.038431908,3.843190773
"Monroe County, Alabama",Monroe County,1099,21745,41.7,26036,17264,1691,7249,33.33639917,Alabama,AL,0.077765003,7.776500345
"Lawrence County, Alabama",Lawrence County,1079,33288,42,43779,22419,972,5490,16.4924297,Alabama,AL,0.029199712,2.919971161
"Lee County, Alabama",Lee County,1081,156597,31,47564,26170,4371,33132,21.15749344,Alabama,AL,0.027912412,2.791241212
"Marion County, Alabama",Marion County,1093,30058,44.1,35719,21835,691,5175,17.21671435,Alabama,AL,0.022988888,2.298888815
"Pickens County, Alabama",Pickens County,1107,20170,42.1,36220,20089,958,4340,21.51710461,Alabama,AL,0.047496282,4.749628161
"Sumter County, Alabama",Sumter County,1119,13084,35.9,21663,14739,672,4398,33.61357383,Alabama,AL,0.05136044,5.136044023
"Jefferson County, Alabama",Jefferson County,1073,659460,37.6,49321,29456,25044,113368,17.19103509,Alabama,AL,0.037976526,3.797652625
"Choctaw County, Alabama",Choctaw County,1023,13188,45.8,32122,20994,468,2903,22.01243555,Alabama,AL,0.035486806,3.548680619
"Franklin County, Alabama",Franklin County,1059,31507,37.7,39501,19314,1114,7175,22.77271717,Alabama,AL,0.035357222,3.53572222
"Marengo County, Alabama",Marengo County,1091,19743,42.1,32255,22996,975,5000,25.3254318,Alabama,AL,0.049384592,4.938459201
"Russell County, Alabama",Russell County,1113,58480,35.3,38988,21279,2465,12024,20.56087551,Alabama,AL,0.042151163,4.215116279
"Cherokee County, Alabama",Cherokee County,1019,25855,46.1,40041,23010,557,4104,15.87313866,Alabama,AL,0.021543222,2.154322181
"Covington County, Alabama",Covington County,1039,37519,43.4,39467,22431,1759,6491,17.30056771,Alabama,AL,0.046882913,4.688291266
"Crenshaw County, Alabama",Crenshaw County,1041,13866,41.4,38937,21580,389,2399,17.30131256,Alabama,AL,0.028054233,2.805423338
"Dallas County, Alabama",Dallas County,1047,40755,39.3,30065,18248,2302,12795,31.39492087,Alabama,AL,0.056483867,5.648386701
"Lauderdale County, Alabama",Lauderdale County,1077,92590,41.5,44888,25803,2798,14701,15.87752457,Alabama,AL,0.030219246,3.021924614
"Lowndes County, Alabama",Lowndes County,1085,10362,40.7,29785,18976,446,3095,29.86875121,Alabama,AL,0.043041884,4.304188381
"Macon County, Alabama",Macon County,1087,19358,38,32308,19564,1251,4380,22.62630437,Alabama,AL,0.064624445,6.462444467
"Limestone County, Alabama",Limestone County,1083,91695,39.1,52831,26685,2957,13138,14.327935,Alabama,AL,0.032248214,3.224821419
"Shelby County, Alabama",Shelby County,1117,208721,38.5,74063,35330,4650,17127,8.20569085,Alabama,AL,0.022278544,2.227854409
"St. Clair County, Alabama",St. Clair County,1115,86937,40.1,53483,24686,2354,11656,13.40740996,Alabama,AL,0.027077079,2.70770788
"Winston County, Alabama",Winston County,1133,23968,44.6,35362,20580,925,4395,18.33694927,Alabama,AL,0.038593124,3.859312417
"Baldwin County, Alabama",Baldwin County,1003,203360,42.6,52562,29364,5215,23728,11.66797797,Alabama,AL,0.025644178,2.564417781
"Cullman County, Alabama",Cullman County,1043,81703,40.6,40997,21857,1962,13157,16.10344785,Alabama,AL,0.024013806,2.40138061
"Elmore County, Alabama",Elmore County,1051,80989,38.5,54981,26251,2613,10299,12.71654175,Alabama,AL,0.032263641,3.226364074
"Houston County, Alabama",Houston County,1069,104108,39.6,42803,24781,3642,19030,18.27909479,Alabama,AL,0.034982902,3.498290237
"Jackson County, Alabama",Jackson County,1071,52326,43,39281,20946,1699,9827,18.78033865,Alabama,AL,0.032469518,3.246951802
"Talladega County, Alabama",Talladega County,1121,80888,40.6,39219,21382,3440,14946,18.47740085,Alabama,AL,0.04252794,4.252793987
"Tuscaloosa County, Alabama",Tuscaloosa County,1125,204424,32.3,50513,24895,6570,33597,16.43495871,Alabama,AL,0.032139083,3.213908347
"Washington County, Alabama",Washington County,1129,16746,43.5,42185,23239,708,3644,21.7604204,Alabama,AL,0.042278753,4.227875314
"Clay County, Alabama",Clay County,1027,13407,43.8,37287,21330,379,2493,18.59476393,Alabama,AL,0.028268815,2.82688148
"Coffee County, Alabama",Coffee County,1031,51073,39.3,49821,26216,1391,8122,15.90272747,Alabama,AL,0.027235526,2.723552562
"Morgan County, Alabama",Morgan County,1103,119157,40.1,47529,25013,3496,19448,16.32132397,Alabama,AL,0.029339443,2.933944292
"Pike County, Alabama",Pike County,1109,33287,31.4,35684,20808,1366,8224,24.70634182,Alabama,AL,0.041037041,4.103704149
"Chilton County, Alabama",Chilton County,1021,43805,38.9,43501,23368,1271,8392,19.15763041,Alabama,AL,0.029014953,2.901495263
"Colbert County, Alabama",Colbert County,1033,54435,42.5,45477,23675,1653,9056,16.63635529,Alabama,AL,0.030366492,3.036649215
"Coosa County, Alabama",Coosa County,1037,10955,45.9,34792,20342,498,1513,13.81104518,Alabama,AL,0.045458695,4.545869466
"Dale County, Alabama",Dale County,1045,49393,37.1,44711,23194,2097,9441,19.1140445,Alabama,AL,0.042455409,4.245540866
"Hale County, Alabama",Hale County,1065,14995,39.8,34679,20269,697,3852,25.68856285,Alabama,AL,0.046482161,4.648216072
"Etowah County, Alabama",Etowah County,1055,103132,40.9,42064,22278,3406,18166,17.61431951,Alabama,AL,0.033025637,3.302563705
"DeKalb County, Alabama",DeKalb County,1049,71194,39,38842,20020,1529,15115,21.23072169,Alabama,AL,0.021476529,2.147652892
"Escambia County, Alabama",Escambia County,1053,37621,39.6,35026,18164,1930,8281,22.01164243,Alabama,AL,0.051301135,5.1301135
"Lamar County, Alabama",Lamar County,1075,14021,44.5,36016,21152,459,3191,22.75871906,Alabama,AL,0.032736609,3.273660937
"Randolph County, Alabama",Randolph County,1111,22530,42.7,39485,20983,530,4102,18.20683533,Alabama,AL,0.02352419,2.352418997
"Butler County, Alabama",Butler County,1013,20126,40.7,36326,19004,640,4835,24.023651,Alabama,AL,0.031799662,3.179966213
"Mobile County, Alabama",Mobile County,1097,414328,37.3,45802,24347,13977,78256,18.88745149,Alabama,AL,0.033734143,3.3734143
"Conecuh County, Alabama",Conecuh County,1035,12649,44.5,30434,16337,669,3316,26.21551111,Alabama,AL,0.052889556,5.288955649
"Perry County, Alabama",Perry County,1105,9680,37.6,22973,13449,332,3706,38.28512397,Alabama,AL,0.034297521,3.429752066
"Walker County, Alabama",Walker County,1127,64927,42.3,38872,21217,2701,13754,21.18379103,Alabama,AL,0.041600567,4.160056679
"Cleburne County, Alabama",Cleburne County,1029,14939,41.7,37396,20873,489,2800,18.74288774,Alabama,AL,0.032733115,3.273311467
"Greene County, Alabama",Greene County,1063,8533,42,20954,14197,419,3293,38.59135122,Alabama,AL,0.049103481,4.91034806
"Barbour County, Alabama",Barbour County,1005,26201,39.7,33368,17561,1261,6332,24.16701653,Alabama,AL,0.048127934,4.812793405
"Bibb County, Alabama",Bibb County,1007,22580,39.8,43404,20911,728,3133,13.87511072,Alabama,AL,0.032240921,3.224092117
"Bullock County, Alabama",Bullock County,1011,10478,40.8,29655,20856,592,2852,27.21893491,Alabama,AL,0.056499332,5.649933193
"Calhoun County, Alabama",Calhoun County,1015,115527,39.1,43686,23638,5309,20940,18.12563297,Alabama,AL,0.045954625,4.595462533
"Chambers County, Alabama",Chambers County,1017,33895,43,37342,22002,994,6288,18.55140876,Alabama,AL,0.029325859,2.932585927
"Clarke County, Alabama",Clarke County,1025,24625,42.2,33827,20765,1424,6108,24.80406091,Alabama,AL,0.057827411,5.782741117
"Fayette County, Alabama",Fayette County,1057,16657,43.6,36541,21191,576,2967,17.81233115,Alabama,AL,0.034580056,3.458005643
"Montgomery County, Alabama",Montgomery County,1101,227120,35.9,46545,26712,8343,45863,20.19328989,Alabama,AL,0.036733885,3.673388517
"Marshall County, Alabama",Marshall County,1095,94738,38.8,41104,22710,2684,19654,20.74563533,Alabama,AL,0.028330765,2.833076485
"Blount County, Alabama",Blount County,1009,57667,40.9,47412,22021,1091,8919,15.46638459,Alabama,AL,0.018918966,1.891896579
"Henry County, Alabama",Henry County,1067,17110,43.5,45569,23983,496,2310,13.50087668,Alabama,AL,0.028988895,2.898889538
"Madison County, Alabama",Madison County,1089,353213,38.2,61318,34232,11822,46925,13.28518486,Alabama,AL,0.033469889,3.346988927
"Autauga County, Alabama",Autauga County,1001,55036,37.8,55317,27824,1324,7483,13.59655498,Alabama,AL,0.024056981,2.405698089
"Tallapoosa County, Alabama",Tallapoosa County,1123,40756,43.3,42181,22430,1547,8532,20.93434096,Alabama,AL,0.037957601,3.795760133
"Geneva County, Alabama",Geneva County,1061,26572,42.7,39293,21084,1011,5903,22.21511365,Alabama,AL,0.038047569,3.804756887
"Wilcox County, Alabama",Wilcox County,1131,10919,40.5,27012,15774,602,3371,30.87279055,Alabama,AL,0.055133254,5.513325396
"Kodiak Island Borough, Alaska",Kodiak Island Borough,2150,13773,33.1,74167,32625,396,1262,9.162854861,Alaska,AK,0.028751906,2.87519059
"Denali Borough, Alaska",Denali Borough,2068,2303,38.4,83295,33084,29,351,15.24099001,Alaska,AK,0.012592271,1.259227095
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area,2261,9439,40,86019,37935,384,694,7.352473779,Alaska,AK,0.040682276,4.068227566
"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,2122,57961,40.6,65279,33336,2397,6229,10.74688152,Alaska,AK,0.041355394,4.135539414
"Aleutians West Census Area, Alaska",Aleutians West Census Area,2016,5784,37.7,85192,35998,77,419,7.244121715,Alaska,AK,0.013312586,1.331258645
"Bristol Bay Borough, Alaska",Bristol Bay Borough,2060,917,41.8,79500,42002,37,63,6.870229008,Alaska,AK,0.040348964,4.034896401
"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,2188,7715,26.6,61533,21879,669,1934,25.06804925,Alaska,AK,0.086714193,8.671419313
"Bethel Census Area, Alaska",Bethel Census Area,2050,17957,26.9,53853,18654,1456,4705,26.20148132,Alaska,AK,0.081082586,8.108258618
"North Slope Borough, Alaska",North Slope Borough,2185,9757,34.6,77266,48777,565,976,10.00307472,Alaska,AK,0.057907144,5.790714359
"Sitka City and Borough, Alaska",Sitka City and Borough,2220,8810,38.9,70765,36617,247,800,9.080590238,Alaska,AK,0.028036322,2.803632236
"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,2090,100031,31,76250,35328,4047,7340,7.337725305,Alaska,AK,0.040457458,4.045745819
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,2130,13745,39.5,67321,33771,521,1437,10.4547108,Alaska,AK,0.037904693,3.790469262
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,2170,101135,34.9,74887,30409,4646,9759,9.64947842,Alaska,AK,0.045938597,4.593859692
"Yakutat City and Borough, Alaska",Yakutat City and Borough,2282,682,39.4,64583,32393,26,42,6.158357771,Alaska,AK,0.038123167,3.812316716
"Nome Census Area, Alaska",Nome Census Area,2180,9869,27.9,53821,20952,724,2381,24.12605127,Alaska,AK,0.073361029,7.336102949
"Dillingham Census Area, Alaska",Dillingham Census Area,2070,4974,30.1,58708,24647,256,817,16.42541214,Alaska,AK,0.051467632,5.146763168
"Haines Borough, Alaska",Haines Borough,2100,2537,45,70640,35907,40,210,8.277493102,Alaska,AK,0.015766654,1.576665353
"Juneau City and Borough, Alaska",Juneau City and Borough,2110,32434,38,90749,41904,906,2339,7.211568108,Alaska,AK,0.02793365,2.793364987
"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,2164,1301,32.3,45208,23434,88,213,16.37202152,Alaska,AK,0.067640277,6.764027671
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,2240,6889,36.6,63866,31051,420,942,13.673973,Alaska,AK,0.060966759,6.09667586
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,2290,5453,34.7,37819,21057,510,1373,25.17880066,Alaska,AK,0.093526499,9.352649917
"Anchorage Municipality, Alaska",Anchorage Municipality,2020,298225,33.1,82271,38977,9394,23510,7.883309582,Alaska,AK,0.031499707,3.14997066
"Aleutians East Borough, Alaska",Aleutians East Borough,2013,3338,42.7,66607,31254,59,555,16.62672259,Alaska,AK,0.017675255,1.767525464
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,2198,6473,41,52114,26695,433,1027,15.86590453,Alaska,AK,0.066893249,6.689324888
"Wrangell City and Borough, Alaska",Wrangell City and Borough,2275,2475,49.1,56094,29943,83,287,11.5959596,Alaska,AK,0.033535354,3.353535354
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,2105,2146,48.9,57900,33704,138,238,11.09040075,Alaska,AK,0.064305685,6.4305685
"Skagway Municipality, Alaska",Skagway Municipality,2230,1038,42.9,70673,39376,60,58,5.587668593,Alaska,AK,0.057803468,5.780346821
"Petersburg Borough, Alaska",Petersburg Borough,2195,3275,41.7,63490,35044,82,256,7.816793893,Alaska,AK,0.025038168,2.503816794
"Kusilvak Census Area, Alaska",Kusilvak Census Area,2158,8129,24,36468,11693,858,3163,38.91007504,Alaska,AK,0.105548038,10.55480379
"Pima County, Arizona",Pima County,4019,1007257,38.2,48676,27323,40004,179569,17.82752565,Arizona,AZ,0.039715783,3.971578257
"Maricopa County, Arizona",Maricopa County,4013,4155501,36,58580,30186,124210,644476,15.50898436,Arizona,AZ,0.029890499,2.989049936
"Gila County, Arizona",Gila County,4007,53145,49.3,41179,22433,2405,11427,21.50155236,Arizona,AZ,0.045253552,4.52535516
"Graham County, Arizona",Graham County,4009,37700,33.1,48173,17874,1722,7089,18.80371353,Arizona,AZ,0.045676393,4.567639257
"Santa Cruz County, Arizona",Santa Cruz County,4023,46358,36.6,39630,19482,1657,10049,21.67694896,Arizona,AZ,0.035743561,3.574356098
"Cochise County, Arizona",Cochise County,4003,126516,40.5,47847,24896,3591,21054,16.64137342,Arizona,AZ,0.028383762,2.838376174
"La Paz County, Arizona",La Paz County,4012,20477,56,36479,21707,681,3971,19.39248913,Arizona,AZ,0.033256825,3.325682473
"Mohave County, Arizona",Mohave County,4015,204691,50.4,41567,23527,7853,37080,18.11511009,Arizona,AZ,0.038365146,3.836514551
"Apache County, Arizona",Apache County,4001,71602,34.2,32360,13865,2983,25225,35.22946286,Arizona,AZ,0.041660847,4.166084746
"Coconino County, Arizona",Coconino County,4005,138639,30.6,53523,25722,5933,26719,19.27235482,Arizona,AZ,0.042794596,4.279459604
"Yavapai County, Arizona",Yavapai County,4025,220972,52.2,48259,27504,6621,31859,14.41766378,Arizona,AZ,0.029963072,2.996307224
"Yuma County, Arizona",Yuma County,4027,204281,34.1,43253,20600,9137,39161,19.17016267,Arizona,AZ,0.044727606,4.47276056
"Greenlee County, Arizona",Greenlee County,4011,9368,33.4,56298,24935,302,1069,11.41118702,Arizona,AZ,0.032237404,3.223740393
"Navajo County, Arizona",Navajo County,4017,107902,35.9,38798,17685,6475,30548,28.31087468,Arizona,AZ,0.060008156,6.000815555
"Pinal County, Arizona",Pinal County,4021,405537,38.5,52628,22944,12337,58750,14.4869642,Arizona,AZ,0.030421392,3.042139188
"White County, Arkansas",White County,5145,78706,36.3,44074,23120,2141,12354,15.69638909,Arkansas,AR,0.0272025,2.720250044
